"고유번호","하천코드","공간정보코드","유일식별자코드","일련번호","고수부지식별자코드","비고","X 좌표","Y 좌표"
"14","1015270","F12","1015270F120000001002","0000001002","1015270D030000001047"," ","204453.885","451187.087"
"48","1024910","F12","1024910F121000000016","1000000016","1024910D030000000004","보완구축","212104.569","445047.08"
"28","1024910","F12","1024910F120000000004","0000000004","1024910D030000000005"," ","211841.249","446295.274"
"94","1025540","F12","1025540F120000000003","0000000003","1025540D030000001003"," ","191936.7","442949.674"
"2","1025360","F12","1025360F120000000001","0000000001","1025360D030000000002"," ","191903.248","453603.027"
"9","1015270","F12","1015270F120000001007","0000001007","1015270D030000001046"," ","203105.461","452510.662"
"15","1015270","F12","1015270F120000001000","0000001000","1015270D030000001048"," ","204232.693","451519.05"
"16","1024910","F12","1024910F120000000016","0000000016","1024910D030000000006"," ","209454.222","447193.381"
"60","1005090","F12","1005090F121000000028","1000000028","1005090D030000000002","보완구축","206713.927","453568.318"
"62","1005090","F12","1005090F121000000030","1000000030","1005090D030000000002","보완구축","206458.451","454959.356"
"66","1005090","F12","1005090F122000000004","2000000004","1005090D030000000005"," ","203353.707","450241.257"
"69","1005090","F12","1005090F122000000007","2000000007","1005090D030000000001"," ","206167.925","450792.753"
"71","1005090","F12","1005090F122000000009","2000000009","1005090D030000000005"," ","203681.048","450392.285"
"76","1005090","F12","1005090F122000000014","2000000014","1005090D030000000007"," ","205938.703","458221.85"
"63","1005090","F12","1005090F122000000001","2000000001","1005090D030000000001"," ","206697.273","451820.928"
"88","1025200","F12","1025200F120000000004","0000000004","1025200D030000000019"," ","205321.344","460144.641"
"90","1025290","F12","1025290F120000000002","0000000002","1025290D030000001018"," ","203506.208","455077.584"
"19","1024910","F12","1024910F120000000013","0000000013","1024910D030000000006"," ","209565.533","447185.003"
"33","1005090","F12","1005090F121000000001","1000000001","1005090D030000000002","보완구축","206237.007","451202.86"
"5","1025271","F12","1025271F120000001011","0000001011","1025271D030000001049"," ","200094.121","452262.985"
"6","1025271","F12","1025271F120000001010","0000001010","1025271D030000001041"," ","200215.531","452242.268"
"13","1015270","F12","1015270F120000001003","0000001003","1015270D030000001047"," ","204266.734","451669.849"
"17","1024910","F12","1024910F120000000015","0000000015","1024910D030000000006"," ","209494.427","447185.781"
"24","1024910","F12","1024910F120000000008","0000000008","1024910D030000000002"," ","211786.597","446309.164"
"27","1024910","F12","1024910F120000000005","0000000005","1024910D030000000005"," ","211922.042","446024.314"
"44","1024910","F12","1024910F121000000012","1000000012","1024910D030000000006","보완구축","210360.449","447184.671"
"54","1024910","F12","1024910F121000000022","1000000022","1024910D030000000004","보완구축","212536.013","444475.487"
"55","1024910","F12","1024910F121000000023","1000000023","1024910D030000000001","보완구축","212527.223","444454.811"
"59","1005090","F12","1005090F121000000027","1000000027","1005090D030000000002","보완구축","206824.747","453230.746"
"64","1000010","F12","1000010F122000000002","2000000002","1000010D030000000010"," ","207424.02","448529.632"
"73","1000010","F12","1000010F122000000011","2000000011","1000010D030000000010"," ","203323.36","448891.043"
"77","1005090","F12","1005090F122000000015","2000000015","1005090D030000000006"," ","205345.268","461348.678"
"80","1005090","F12","1005090F122000000018","2000000018","1005090D030000000010"," ","206580.459","454890.203"
"81","1025210","F12","1025210F120000000001","0000000001","1025210D030000000003"," ","207885.195","457880.611"
"83","1025210","F12","1025210F120000000003","0000000003","1025210D030000000006"," ","208162.055","458202.844"
"39","1005090","F12","1005090F121000000007","1000000007","1005090D030000000002","보완구축","206318.144","454191.475"
"42","1024910","F12","1024910F121000000010","1000000010","1024910D030000000006","보완구축","209165.402","447190.239"
"46","1024910","F12","1024910F121000000014","1000000014","1024910D030000000004","보완구축","212671","444442.124"
"65","1005090","F12","1005090F122000000003","2000000003","1005090D030000000005"," ","203173.919","450115.702"
"92","1025540","F12","1025540F120000000001","0000000001","1025540D030000001003"," ","192421.302","443218.36"
"3","1035233","F12","1035233F120000010001","0000010001","1035233D030000010008"," ","210785.741","441981.656"
"11","1015270","F12","1015270F120000001005","0000001005","1015270D030000001047"," ","203907.921","452275.198"
"18","1024910","F12","1024910F120000000014","0000000014","1024910D030000000006"," ","209526.697","447180.717"
"68","1005090","F12","1005090F122000000006","2000000006","1005090D030000000005"," ","202790.249","449717.057"
"74","1005090","F12","1005090F122000000012","2000000012","1005090D030000000005"," ","202841.432","449764.842"
"20","1024910","F12","1024910F120000000012","0000000012","1024910D030000000006"," ","209757.278","447185.658"
"85","1025200","F12","1025200F120000000001","0000000001","1025200D030000000020"," ","205787.476","460897.75"
"86","1025200","F12","1025200F120000000002","0000000002","1025200D030000000019"," ","205933.45","461316.095"
"91","1025280","F12","1025280F120000000001","0000000001","1025280D030000001015"," ","201375.997","453974.294"
"96","1025540","F12","1025540F120000000005","0000000005","1025540D030000001003"," ","193194.473","443039.482"
"97","1025540","F12","1025540F120000000006","0000000006","1025540D030000001003"," ","194061.382","441959.36"
"1","1015270","F12","1015270F120000001001","0000001001","1015270D030000001047"," ","204558.068","450855.872"
"12","1015270","F12","1015270F120000001004","0000001004","1015270D030000001047"," ","204140.19","451977.909"
"56","1024910","F12","1024910F121000000024","1000000024","1024910D030000000001","보완구축","212085.263","444865.568"
"4","1025271","F12","1025271F120000001012","0000001012","1025271D030000001041"," ","200297","452283.413"
"7","1025271","F12","1025271F120000001009","0000001009","1025271D030000001041"," ","200856.268","452259.111"
"8","1015270","F12","1015270F120000001008","0000001008","1015270D030000001047"," ","202993.35","452366.965"
"10","1015270","F12","1015270F120000001006","0000001006","1015270D030000001048"," ","203458.106","452522.363"
"58","1005090","F12","1005090F121000000026","1000000026","1005090D030000000002","보완구축","206812.016","452712.493"
"36","1005090","F12","1005090F121000000004","1000000004","1005090D030000000002","보완구축","206117.265","454970.603"
"40","1005090","F12","1005090F121000000008","1000000008","1005090D030000000002","보완구축","206276.854","456649.361"
"70","1005090","F12","1005090F122000000008","2000000008","1005090D030000000002"," ","205453.357","450413.465"
"72","1005090","F12","1005090F122000000010","2000000010","1005090D030000000003"," ","204679.013","450485.501"
"75","1005090","F12","1005090F122000000013","2000000013","1005090D030000000001"," ","205015.694","450166.786"
"78","1025350","F12","1025350F122000000016","2000000016","1025350D030000000005"," ","191565.202","451581.075"
"87","1025200","F12","1025200F120000000003","0000000003","1025200D030000000019"," ","205427.836","460571.478"
"25","1024910","F12","1024910F120000000007","0000000007","1024910D030000000002"," ","211855.265","446139.505"
"26","1024910","F12","1024910F120000000006","0000000006","1024910D030000000002"," ","211905.507","446017.313"
"29","1024910","F12","1024910F120000000003","0000000003","1024910D030000000005"," ","211820.485","446276.922"
"30","1024910","F12","1024910F120000000002","0000000002","1024910D030000000005"," ","211830.561","446252.188"
"31","1024910","F12","1024910F120000000001","0000000001","1024910D030000000005"," ","211841.06","446225.474"
"32","1015270","F12","1015270F120000001013","0000001013","1015270D030000001041"," ","203446.147","451860.174"
"35","1005090","F12","1005090F121000000003","1000000003","1005090D030000000005","보완구축","204305.983","450638.363"
"43","1024910","F12","1024910F121000000011","1000000011","1024910D030000000003","보완구축","210267.457","447118.287"
"49","1024910","F12","1024910F121000000017","1000000017","1024910D030000000001","보완구축","212116.265","444722.408"
"50","1024910","F12","1024910F121000000018","1000000018","1024910D030000000004","보완구축","212127.513","444824.647"
"57","1005090","F12","1005090F121000000025","1000000025","1005090D030000000002","보완구축","206650.463","451932.421"
"23","1024910","F12","1024910F120000000009","0000000009","1024910D030000000002"," ","211447.042","446523.856"
"41","1024910","F12","1024910F121000000009","1000000009","1024910D030000000003","보완구축","209292.233","447116.554"
"51","1024910","F12","1024910F121000000019","1000000019","1024910D030000000004","보완구축","212206.404","444672.512"
"52","1024910","F12","1024910F121000000020","1000000020","1024910D030000000004","보완구축","212377.222","444567.108"
"67","1005090","F12","1005090F122000000005","2000000005","1005090D030000000005"," ","203059.23","450001.8"
"82","1025210","F12","1025210F120000000002","0000000002","1025210D030000000003"," ","208186.335","458187.048"
"79","1025360","F12","1025360F122000000017","2000000017","1025360D030000000001"," ","191238.693","452170.606"
"84","1025210","F12","1025210F120000000004","0000000004","1025210D030000000006"," ","207920.035","457992.992"
"22","1024910","F12","1024910F120000000010","0000000010","1024910D030000000002"," ","211393.687","446694.36"
"37","1005090","F12","1005090F121000000005","1000000005","1005090D030000000002","보완구축","206317.059","455680.449"
"93","1025540","F12","1025540F120000000002","0000000002","1025540D030000001003"," ","190380.804","444601.213"
"95","1025540","F12","1025540F120000000004","0000000004","1025540D030000001003"," ","192243.734","443085.621"
"89","1025290","F12","1025290F120000000001","0000000001","1025290D030000001020"," ","203406.823","455693.821"
"34","1005090","F12","1005090F121000000002","1000000002","1005090D030000000002","보완구축","206465.839","451458.489"
"38","1005090","F12","1005090F121000000006","1000000006","1005090D030000000002","보완구축","206162.574","455374.442"
"45","1024910","F12","1024910F121000000013","1000000013","1024910D030000000001","보완구축","212675.166","444427.234"
"47","1024910","F12","1024910F121000000015","1000000015","1024910D030000000001","보완구축","212076.525","445061.66"
"53","1024910","F12","1024910F121000000021","1000000021","1024910D030000000001","보완구축","212334.905","444566.749"
"61","1005090","F12","1005090F121000000029","1000000029","1005090D030000000002","보완구축","206873.889","452733.522"
"21","1024910","F12","1024910F120000000011","0000000011","1024910D030000000002"," ","211328.697","446870.265"